Appellation Complexe:
| Mot                   |   Nombre d'occurrences |
| HIPPATODORE           |                      1 |
| HIPPIAS               |                      1 |
| HÉGÉSIAS              |                      1 |
| HÉRACLIUS             |                      1 |
| INGENUUS              |                      1 |
| LÉOCRATES             |                      1 |
| ISIDORE               |                      1 |
| ISIGONE               |                      1 |
| LAPHAÈS               |                      1 |
| LESBOTHÉMIS           |                      1 |
| LOCRUS                |                      1 |
| LOPHON                |                      1 |
| LYCIUS                |                      1 |
| LYSIAS                |                      1 |
| LYSON                 |                      1 |
| LYSUS                 |                      1 |
| LÉARQUE               |                      1 |
| LÉOCHARÈS             |                      1 |
| PAMPHILE              |                      1 |
| PANTIAS               |                      1 |
| STEPHANUS             |                      1 |
| PATROCLE              |                      1 |
| PYROMAQUE             |                      1 |
| PYRRHUS               |                      1 |
| PYTHAGORE             |                      1 |
| PYTHIS                |                      1 |
| PYTHODORE             |                      1 |
| PÉRICLYMÈNE           |                      1 |
| PÉRILLE               |                      1 |
| Victoire              |                      1 |
| emple                 |                      1 |
| hermaphrodite         |                      1 |
| travailla             |                      1 |
| vaches                |                      1 |
| Jocaste               |                      1 |
| RUPIUS                |                      1 |
| SALPION               |                      1 |
| SAMOLAS               |                      1 |
| SARAMBUS              |                      1 |
| SCYMN                 |                      1 |
| SIM                   |                      1 |
| SIMENUS               |                      1 |
| SIMMIAS               |                      1 |
| SIMON                 |                      1 |
| SMILIS                |                      1 |
| SOCLOS                |                      1 |
| SOSI                  |                      1 |
| SOSIBIOS              |                      1 |
| SOSICLÈS              |                      1 |
| PYRILAMPÈS            |                      1 |
| PYGMALION             |                      1 |
| PTOLICHUS             |                      1 |
| PISTILLUS             |                      1 |
| PETROS                |                      1 |
| PHI                   |                      1 |
| PHILISCUS             |                      1 |
| PHILOMÈNE             |                      1 |
| PHILON                |                      1 |
| PHILONICUS            |                      1 |
| PHILÉAS               |                      1 |
| PHILÉTUS              |                      1 |
| PHRADMON              |                      1 |
